unit_id,age_years,ambient_c,load_pu,top_oil_c,hotspot_c,ageing_rate,voltage_dev_pct,load_current_a,h2_ppm,ch4_ppm,c2h6_ppm,c2h4_ppm,c2h2_ppm,co_ppm,moisture_ppm,pd_pc,oil_bdv_kv,fault_type,health_index,health_class
TX020,19.5,32.9,0.668,65.5,77.0,0.025,1.19,113.6,372.0,820.0,226.3,1107.7,26.79,1100.0,24.0,30.9,38.0,T2,48.1,3
TX020,19.5,12.8,0.739,48.2,61.7,0.004,3.2,127.6,16.0,20.3,2.1,9.0,0.55,765.3,20.2,40.4,55.4,normal,83.5,1
TX021,34.6,37.0,0.765,73.3,87.6,0.088,3.16,134.8,339.3,569.4,615.1,139.7,9.17,1479.2,40.1,29.8,50.3,T1,46.1,3
TX021,34.6,25.0,0.698,58.8,71.1,0.012,2.7,128.0,459.1,131.9,106.2,313.2,621.95,1120.3,34.8,286.0,41.9,D1,45.6,3
TX021,34.6,32.8,1.028,78.8,101.8,0.424,1.85,188.0,34.1,17.9,15.0,9.1,1.35,1182.6,22.6,112.1,42.5,normal,72.6,1
TX022,17.4,20.7,0.85,60.3,77.3,0.026,-0.54,139.5,258.8,143.5,38.9,115.3,321.51,656.8,20.1,312.6,59.1,D1,61.9,2
TX022,17.4,21.6,0.643,53.2,64.1,0.005,-4.4,110.7,22.7,7.7,12.0,4.4,0.34,665.4,18.6,8.9,62.7,normal,87.8,0
TX023,20.3,33.3,0.817,71.5,87.5,0.086,-2.61,141.4,1183.2,152.2,23.4,25.6,5.32,748.4,29.1,144.0,36.0,PD,50.3,3
TX023,20.3,16.3,1.271,70.8,103.1,0.487,-1.68,223.5,422.1,338.5,129.0,907.6,15.02,1007.7,21.6,14.7,44.3,T3,57.7,2
TX023,20.3,31.7,0.62,62.4,72.6,0.014,-0.56,110.9,208.4,390.1,103.9,437.3,14.27,997.9,,91.1,54.7,T2,59.6,2
TX023,20.3,15.7,1.077,63.4,88.2,0.094,5.02,190.2,91.5,181.8,137.0,469.1,9.77,848.4,20.7,24.3,44.5,T2,63.3,2
TX024,31.0,0.1,0.504,26.2,33.5,0.0,1.15,90.2,5.8,0.1,4.7,11.3,0.36,1142.7,27.7,24.0,52.0,normal,79.4,1
TX024,31.0,29.0,0.893,70.1,88.5,0.098,3.41,162.3,16.8,6.4,4.7,6.8,0.97,955.2,26.2,69.4,50.9,normal,77.7,1
TX024,31.0,39.2,0.674,72.0,83.7,0.055,0.66,115.3,30.6,13.3,8.7,0.1,0.15,886.2,29.9,25.8,55.6,normal,78.0,1
TX024,31.0,39.7,0.684,72.8,84.8,0.064,1.31,125.1,293.8,566.2,509.9,154.8,8.91,1229.7,27.0,0.0,44.9,T1,52.7,2
TX025,39.6,18.4,0.785,55.5,70.4,0.011,0.55,131.9,20.1,26.7,15.3,7.0,2.53,1054.4,22.7,46.9,48.2,normal,76.4,1
TX025,39.6,42.0,0.945,85.0,105.1,0.604,-2.12,165.6,28.0,12.8,10.8,0.9,0.96,1325.8,24.5,20.0,40.9,normal,73.6,1
TX025,39.6,30.8,0.73,65.8,79.1,0.032,1.24,134.7,529.2,318.3,146.6,0.9,14.6,1143.5,40.9,1084.5,30.5,PD,26.7,3
TX025,39.6,34.7,0.628,65.7,76.2,0.023,-4.13,106.3,279.5,782.1,186.4,1060.4,34.02,1515.2,29.2,75.6,36.4,T2,43.9,3
TX026,30.9,28.2,0.912,70.0,89.0,0.103,-1.61,163.9,45.0,11.7,6.7,8.0,1.15,975.4,21.9,56.6,59.7,normal,79.3,1
TX026,30.9,21.7,0.892,62.8,81.1,0.041,2.02,148.1,10.3,14.9,20.5,8.1,0.19,977.2,24.3,34.5,46.8,normal,78.1,1
TX027,30.7,35.2,0.972,79.2,100.2,0.358,3.24,176.3,346.3,330.7,93.8,243.1,1047.38,1050.4,30.7,409.1,45.2,D2,51.5,3
TX027,30.7,8.2,0.799,45.8,61.2,0.003,4.1,142.3,364.5,371.6,325.9,506.8,13.18,1366.4,28.0,12.1,44.0,T2,55.3,2
TX027,30.7,29.2,0.498,54.9,62.2,0.004,1.13,86.1,31.6,11.0,9.7,4.6,0.53,1080.1,26.9,44.7,51.5,normal,78.1,1
TX027,30.7,9.9,1.032,56.0,79.2,0.033,3.08,181.6,33.2,7.9,22.0,10.0,2.02,1020.1,25.0,0.0,47.1,normal,76.5,1
TX028,12.0,30.7,0.726,65.5,78.7,0.031,-1.46,128.4,6.3,3.4,0.1,4.0,0.09,492.7,3.8,98.6,50.4,normal,88.0,0
TX028,12.0,36.9,0.751,72.7,86.7,0.079,3.23,131.0,12.6,15.3,10.6,2.5,0.71,503.0,17.6,0.0,56.1,normal,86.7,0
TX028,12.0,24.8,1.137,74.7,101.7,0.42,-3.14,188.4,13.0,10.2,3.1,1.1,0.95,621.2,15.8,17.4,50.2,normal,88.9,0
TX028,12.0,3.7,0.742,39.1,52.7,0.001,1.71,126.7,139.4,630.3,137.1,106.5,12.21,860.8,23.6,56.7,48.5,T1,57.7,2
TX029,30.9,23.8,0.655,55.9,67.1,0.007,2.92,115.8,126.7,439.6,229.6,184.7,3.4,1280.0,25.1,29.1,39.5,T1,55.0,2
TX029,30.9,23.6,1.18,75.0,103.6,0.515,-0.69,194.4,189.5,463.7,394.0,197.6,0.47,1044.3,30.3,112.7,39.4,T1,49.8,3
TX030,9.5,20.2,0.996,65.0,86.9,0.081,-2.11,178.2,15.4,5.3,1.8,4.5,1.06,496.0,18.2,183.6,51.9,normal,83.8,1
TX030,9.5,15.6,1.083,63.6,88.6,0.099,0.87,180.7,8.5,8.7,5.6,2.7,2.33,446.8,7.1,66.2,53.7,normal,89.0,0
TX030,9.5,11.6,0.654,43.7,54.8,0.001,-1.4,110.5,385.5,236.6,76.9,364.2,665.29,480.7,15.4,280.6,45.3,D2,59.3,2
TX031,21.9,24.2,0.736,59.4,72.9,0.015,-0.34,130.9,19.0,9.9,2.1,1.0,0.38,882.6,12.2,103.5,53.9,normal,84.6,1
TX031,21.9,2.9,0.969,46.8,67.7,0.008,0.52,177.5,163.3,519.4,239.8,106.2,9.37,1048.4,29.1,56.3,44.7,T1,50.5,3
TX031,21.9,23.5,1.007,68.7,91.0,0.129,-0.56,175.9,25.4,3.1,6.9,9.3,1.15,807.5,20.2,55.1,50.2,normal,82.4,1
TX031,21.9,50.2,0.425,72.9,78.5,0.03,3.5,75.1,960.5,236.0,121.4,660.0,1630.81,895.8,26.2,104.9,51.2,D2,56.8,2
TX032,33.8,23.8,0.837,62.9,79.4,0.033,-3.28,146.6,33.0,3.1,16.7,7.0,0.12,965.9,29.6,70.8,34.7,normal,67.0,2
TX032,33.8,17.8,0.679,50.8,62.6,0.004,5.25,114.8,399.9,753.7,277.7,735.1,7.18,1351.8,24.9,49.2,44.0,T2,52.9,2
TX033,19.1,17.7,0.825,56.3,72.5,0.014,2.17,145.9,15.0,10.3,4.7,4.2,2.26,728.9,21.3,14.5,52.3,normal,85.3,0
TX033,19.1,21.5,0.48,46.5,53.3,0.001,-1.18,80.0,8.3,6.6,12.4,2.6,1.32,668.3,20.5,82.9,52.7,normal,82.4,1
TX033,19.1,19.2,0.53,46.3,54.3,0.001,0.52,98.1,17.7,6.9,17.0,0.7,0.63,615.2,17.5,8.8,54.1,normal,88.0,0
TX034,15.8,18.8,0.325,37.1,40.7,0.0,-3.07,55.7,16.9,7.4,2.8,4.3,0.66,582.2,20.1,93.7,48.2,normal,82.0,1
TX034,15.8,34.1,0.8,71.8,87.2,0.083,2.01,134.2,7.6,5.7,6.9,4.1,0.12,626.9,16.8,31.3,47.7,normal,85.4,0
TX035,18.2,28.6,0.518,55.1,62.8,0.004,-1.24,93.6,1135.0,105.8,24.1,23.2,3.57,774.5,19.4,275.6,45.5,PD,57.8,2
TX035,18.2,39.4,1.234,92.6,123.4,3.757,1.85,209.9,8.0,9.0,2.7,2.1,0.72,599.0,14.8,19.2,53.1,normal,82.1,1
TX036,48.0,39.4,1.004,84.5,106.6,0.707,1.51,182.1,1607.0,255.8,156.8,364.5,1959.19,1540.8,40.6,295.9,21.0,D1,29.2,3
TX036,48.0,9.7,0.84,48.8,65.5,0.006,-1.24,145.1,42.9,5.8,15.4,10.5,0.1,1301.3,34.1,40.6,38.8,normal,65.8,2
TX036,48.0,20.3,0.798,57.9,73.2,0.016,0.37,137.8,147.0,1208.0,763.7,351.9,24.36,1584.7,33.4,44.8,33.0,T1,38.0,3
TX036,48.0,32.4,0.877,72.9,90.7,0.126,-1.93,152.4,27.8,2.4,20.6,14.9,1.72,1388.8,38.1,134.0,44.7,normal,65.2,2
TX037,29.1,24.8,0.824,63.3,79.5,0.034,0.07,139.3,272.1,1019.9,237.2,684.4,21.4,1324.1,24.4,0.0,34.3,T2,49.7,3
TX037,29.1,26.1,0.72,60.7,73.7,0.017,3.11,129.9,192.5,453.9,219.7,122.8,10.35,1165.2,22.5,21.1,47.6,T1,62.4,2
TX037,29.1,25.4,0.738,60.7,74.2,0.018,1.61,136.2,26.2,10.2,11.4,9.2,0.51,921.3,20.2,12.5,43.6,normal,80.1,1
TX037,29.1,36.8,0.689,70.2,82.3,0.047,-2.5,112.7,126.9,98.4,245.2,64.4,5.75,950.0,29.5,26.0,50.6,T1,69.7,2
TX038,17.5,20.0,0.565,48.4,57.3,0.002,0.96,96.5,10.7,13.1,9.4,3.9,1.27,570.2,18.7,32.4,54.9,normal,85.2,0
TX038,17.5,29.0,0.25,43.8,46.2,0.0,2.48,43.7,21.5,4.7,4.7,7.2,0.22,542.8,14.2,11.7,59.3,normal,89.0,0
TX038,17.5,18.8,0.577,47.7,56.8,0.002,-2.56,98.8,19.5,11.6,0.4,3.1,1.09,791.1,13.2,44.0,62.2,normal,86.7,0
TX039,12.8,12.9,0.344,32.1,36.1,0.0,-1.44,60.6,9.5,0.1,3.2,1.1,1.14,734.1,16.3,13.0,57.4,normal,89.3,0
TX039,12.8,32.2,0.539,59.6,67.8,0.008,-0.19,93.2,10.0,4.7,6.3,1.8,0.2,532.8,13.1,53.2,,normal,87.7,0
TX039,12.8,21.9,0.719,56.4,69.4,0.01,-1.23,125.9,12.1,13.4,1.2,5.5,2.75,573.6,22.4,50.7,58.7,normal,83.7,1
TX040,17.6,17.1,0.619,47.7,58.0,0.002,-1.17,115.5,5.7,10.2,9.2,4.9,-1.0,686.2,20.3,42.2,55.6,normal,84.1,1
TX040,17.6,26.3,0.499,52.1,59.3,0.003,3.5,87.7,281.4,450.5,144.8,813.9,18.51,828.6,31.1,44.7,49.4,T2,55.4,2
TX041,19.9,28.3,0.783,65.3,80.2,0.037,2.88,135.0,10.2,9.9,7.4,0.6,2.05,787.5,9.5,32.2,54.1,normal,88.2,0
TX041,19.9,30.6,0.687,64.0,76.1,0.022,1.45,122.1,1595.1,123.0,44.2,36.1,-1.0,909.2,21.2,266.5,39.6,PD,51.7,3
TX042,21.3,34.4,1.35,91.6,127.2,5.383,0.84,234.1,18.7,12.5,6.0,0.8,0.65,674.5,14.9,54.5,61.0,normal,77.6,1
TX042,21.3,28.8,0.741,64.2,77.8,0.027,-2.01,131.2,106.2,93.8,20.1,618.0,23.09,761.3,22.6,9.9,,T3,67.6,2
TX042,21.3,33.2,0.935,75.9,95.6,0.217,1.73,168.0,234.0,509.6,349.4,233.7,11.02,1156.5,,48.1,46.7,T1,51.7,3
TX042,21.3,7.7,1.089,55.9,81.1,0.041,0.47,192.8,18.0,1.6,5.1,7.3,0.13,726.7,26.3,25.7,47.2,normal,80.3,1
TX043,25.9,24.6,0.802,62.3,77.7,0.027,-1.15,142.0,216.1,634.3,438.4,170.4,4.91,1125.9,27.7,210.9,44.5,T1,50.6,3
TX043,25.9,24.9,1.248,78.6,109.9,0.993,-0.73,236.0,15.8,12.9,5.7,4.4,0.78,968.5,24.5,42.1,56.7,normal,80.5,1
TX044,24.6,32.4,0.707,66.5,79.2,0.032,1.49,121.0,19.0,10.5,12.3,2.6,1.38,880.0,24.9,25.5,52.6,normal,81.5,1
TX044,24.6,29.2,1.04,75.7,99.1,0.317,-0.66,175.4,2949.4,456.0,116.8,109.0,3.26,793.4,28.1,444.4,34.7,PD,36.6,3
TX045,23.9,28.6,0.901,70.0,88.6,0.098,4.42,160.2,14.9,21.3,9.9,0.8,1.27,684.9,22.2,32.4,50.6,normal,82.2,1
TX045,23.9,24.3,0.815,62.5,78.4,0.029,2.38,141.3,504.2,194.2,44.6,27.1,4.17,793.0,25.7,792.5,45.4,PD,52.6,2
TX046,15.7,31.1,0.976,75.2,96.4,0.237,-1.69,171.2,20.8,15.2,3.4,4.0,0.28,620.3,,48.0,47.5,normal,84.8,1
TX046,15.7,14.1,0.827,52.8,69.0,0.009,-2.3,144.5,14.0,10.3,14.6,4.7,1.03,532.1,12.5,23.6,62.8,normal,88.7,0
TX046,15.7,15.9,0.719,50.4,63.4,0.004,2.56,121.9,20.4,4.6,1.4,6.6,1.04,573.2,11.3,43.3,51.2,normal,87.9,0
TX047,19.3,33.3,0.544,60.9,69.2,0.009,1.74,96.9,17.3,10.2,11.9,6.2,3.5,650.9,20.2,62.9,52.3,normal,82.6,1
TX047,19.3,7.4,0.689,40.8,52.9,0.001,-4.37,125.0,17.8,4.1,10.1,7.3,0.51,445.8,14.5,30.7,62.8,normal,86.6,0
TX048,20.3,27.3,0.919,69.3,88.6,0.098,5.66,157.3,31.0,13.9,1.3,6.1,2.14,856.2,18.5,86.1,58.7,normal,82.3,1
TX048,20.3,16.0,0.25,30.8,33.2,0.0,3.01,43.8,613.3,126.0,19.3,29.2,4.03,864.2,23.6,374.5,,PD,61.6,2
TX049,25.9,21.6,0.864,61.6,79.0,0.032,-1.98,144.1,312.5,692.0,251.1,124.9,19.1,902.5,33.3,90.6,44.9,T2,51.0,3
TX049,25.9,24.8,1.333,81.4,116.3,1.881,-0.39,228.5,1077.2,178.3,37.2,30.2,4.1,707.3,24.7,153.1,51.0,PD,57.4,2
TX050,40.5,23.7,0.82,62.0,78.0,0.028,1.06,154.3,14.4,1.1,14.3,9.4,2.56,1414.0,37.5,35.2,38.8,normal,66.0,2
TX050,40.5,16.1,0.938,58.8,78.6,0.03,-0.19,162.8,202.5,741.8,568.4,413.8,11.32,1311.3,38.4,46.4,32.5,T1,38.1,3
TX050,40.5,10.2,0.677,43.1,54.9,0.001,0.68,115.3,33.9,11.9,3.8,10.8,2.42,1268.5,23.4,14.1,47.3,normal,77.8,1
TX051,10.3,18.2,0.898,59.5,78.0,0.028,-1.18,152.9,8.0,9.5,6.0,1.3,1.15,338.3,15.8,8.6,55.6,normal,90.8,0
TX051,10.3,8.7,0.492,34.2,41.2,0.0,-0.96,86.3,15.6,10.9,2.7,1.5,1.17,277.1,7.2,133.2,56.0,normal,87.5,0
TX051,10.3,23.8,1.144,74.0,101.3,0.401,-0.29,200.7,84.1,590.1,210.8,151.3,6.35,783.6,18.4,90.3,47.3,T1,55.1,2
TX052,26.8,47.4,0.705,81.4,94.0,0.182,2.19,121.1,15.6,15.7,13.5,3.9,0.27,965.5,20.4,47.9,47.9,normal,80.5,1
TX052,26.8,12.2,0.749,47.9,61.8,0.004,0.72,133.4,724.1,142.2,28.6,22.1,-1.0,976.4,27.2,315.4,42.5,PD,51.1,3
TX052,26.8,24.3,0.374,44.8,49.4,0.001,0.24,67.1,20.9,15.6,8.3,12.0,1.05,936.4,23.6,0.0,49.4,normal,80.1,1
TX053,38.4,17.7,0.933,60.3,80.0,0.036,2.22,165.7,335.9,1541.7,1441.9,361.0,1.78,1561.0,42.9,53.6,35.7,T1,33.9,3
TX053,38.4,32.3,1.084,80.3,105.3,0.617,0.02,197.9,29.2,21.4,11.0,5.2,3.36,1238.8,33.4,29.8,45.3,normal,71.6,1
TX054,26.6,22.1,0.42,44.6,50.0,0.001,0.32,73.1,34.0,15.1,9.2,4.5,2.14,862.8,28.2,53.4,,normal,77.9,1
TX054,26.6,9.4,0.903,50.9,69.6,0.01,-3.82,160.4,392.4,938.7,674.1,240.2,18.19,1281.4,29.2,185.1,,T1,40.0,3
TX055,7.1,5.2,0.858,45.0,62.3,0.004,2.49,145.9,6.8,1.6,6.7,5.9,2.49,438.2,13.1,146.1,65.4,normal,86.8,0
TX055,7.1,28.0,0.418,50.4,55.8,0.002,2.79,76.2,10.5,12.3,6.1,6.0,0.45,399.3,14.5,22.9,54.7,normal,89.9,0
TX055,7.1,32.7,0.763,68.9,83.2,0.053,1.03,136.3,9.9,6.5,7.1,2.7,2.36,433.7,15.4,203.9,54.6,normal,85.2,0
